"","Provider Name","County","State","Ownership Type","CMS Provider Number"
"2072","MANORCARE HEALTH SERVICES-WEST DEPTFORD","Gloucester","NJ","Non profit","315246"
"2073","ALARIS HEALTH AT BELGROVE","Hudson","NJ","For profit","315366"
"2074","ALARIS HEALTH AT BOULEVARD EAST","Hudson","NJ","For profit","315254"
"2075","ALARIS HEALTH AT CASTLE HILL","Hudson","NJ","For profit","315344"
"2076","ALARIS HEALTH AT HAMILTON PARK","Hudson","NJ","For profit","315300"
"2077","ALARIS HEALTH AT JERSEY CITY","Hudson","NJ","For profit","315083"
"2078","ALARIS HEALTH AT KEARNY","Hudson","NJ","For profit","315192"
"2079","ALARIS HEALTH AT THE FOUNTAINS","Hudson","NJ","For profit","315476"
"2080","HARBORAGE (THE)","Hudson","NJ","Non profit","315307"
"2081","HUDSON HILLS SENIOR LIVING, LLC","Hudson","NJ","For profit","315525"
"2082","HUDSONVIEW HEALTH CARE CENTER","Hudson","NJ","For profit","315112"
"2083","MANHATTANVIEW NURSING HOME","Hudson","NJ","For profit","315465"
"2084","COUNTRY ARCH CARE CENTER","Hunterdon","NJ","For profit","315433"
"2085","HUNTERDON CARE CENTER","Hunterdon","NJ","For profit","315226"
"2086","ROLLING HILLS CARE CENTER","Hunterdon","NJ","For profit","315302"
"2087","ATRIUM POST ACUTE CARE OF HAMILTON","Mercer","NJ","For profit","315519"
"2088","ATRIUM POST ACUTE CARE OF PRINCETON","Mercer","NJ","For profit","315370"
"2089","CLOVER MEADOWS HEALTHCARE AND REHABILITATION CENTE","Mercer","NJ","For profit","315113"
"2090","GREENWOOD HOUSE HOME FOR THE JEWISH AGED","Mercer","NJ","Non profit","315215"
"2091","HAMILTON CONTINUING CARE","Mercer","NJ","Non profit","315223"
"2092","HAMILTON GROVE HEALTHCARE AND REHABILITATION, LLC","Mercer","NJ","For profit","315423"
"2093","MEADOW LAKES","Mercer","NJ","Non profit","315022"
"2094","MERCERVILLE CENTER","Mercer","NJ","For profit","315094"
"2095","MORRIS HALL/ST JOSEPH'S NURSING CENTER","Mercer","NJ","Non profit","315338"
"2096","PREFERRED CARE AT MERCER","Mercer","NJ","For profit","315487"
"2097","PRINCETON CARE CENTER","Mercer","NJ","For profit","315108"
"2098","PROVIDENCE NURSING AND REHABILITATION CENTER","Mercer","NJ","For profit","315124"
"2099","ROYAL HEALTH GATE NRSG REHAB","Mercer","NJ","For profit","315455"
"2100","ST LAWRENCE REHAB CENTER","Mercer","NJ","Non profit","315127"
"2101","WATERS EDGE HEALTHCARE & REHAB","Mercer","NJ","For profit","315324"
"2102","ALAMEDA CENTER FOR REHABILITATION AND HEALTHCARE","Middlesex","NJ","For profit","315180"
"2103","AMBOY CARE CENTER","Middlesex","NJ","For profit","315305"
"2104","ARISTACARE AT CEDAR OAKS","Middlesex","NJ","For profit","315214"
"2105","BRIGHTON GARDENS OF EDISON","Middlesex","NJ","For profit","315351"
"2106","CARE ONE AT EAST BRUNSWICK","Middlesex","NJ","For profit","315472"
"2107","CARE ONE AT THE HIGHLANDS","Middlesex","NJ","For profit","315132"
"2108","CRANBURY CENTER","Middlesex","NJ","For profit","315353"
"2109","ELMS OF CRANBURY, THE","Middlesex","NJ","For profit","315451"
"2110","GARDENS AT MONROE HEALTHCARE AND REHABILITATION, T","Middlesex","NJ","For profit","315336"
"2111","HARTWYCK AT OAK TREE","Middlesex","NJ","Non profit","315251"
"2112","JFK HARTWYCK AT EDISON ESTATES","Middlesex","NJ","Non profit","315279"
"2113","MERWICK CARE & REHABILITATION CENTER","Middlesex","NJ","For profit","315001"
"2114","NEW JERSEY VETERANS MEMORIAL HOME MENLO","Middlesex","NJ","Government","315459"
"2115","PARK PLACE CENTER","Middlesex","NJ","For profit","315362"
"2116","PREFERRED CARE AT OLD BRIDGE, LLC","Middlesex","NJ","For profit","315321"
"2117","REFORMED CHURCH HOME","Middlesex","NJ","Non profit","315417"
"2118","ROOSEVELT CARE CENTER","Middlesex","NJ","Government","315039"
"2119","ROOSEVELT CARE CENTER AT OLD BRIDGE","Middlesex","NJ","Government","315509"
"2120","ROSE MOUNTAIN CARE CENTER","Middlesex","NJ","For profit","315384"
"2121","ST JOSEPH'S HOME AL & NC, INC","Middlesex","NJ","Non profit","315318"
"2122","SUMMER HILL NURSING HOME","Middlesex","NJ","For profit","315381"
"2123","VENETIAN CARE & REHABILITATION CENTER, THE","Middlesex","NJ","For profit","315518"
"2124","VILLAGE POINT","Middlesex","NJ","Non profit","315269"
"2125","ALLAIRE REHAB & NURSING","Monmouth","NJ","For profit","315387"
"2126","ANCHOR CARE AND REHABILITATION CENTER","Monmouth","NJ","For profit","315314"
"2127","APPLEWOOD ESTATES","Monmouth","NJ","Non profit","315292"
"2128","ARNOLD WALTER NURSING HOME","Monmouth","NJ","For profit","315119"
"2129","ATRIUM AT NAVESINK HARBOR, THE","Monmouth","NJ","Non profit","315515"
"2130","ATRIUM POST ACUTE CARE OF MATAWAN","Monmouth","NJ","For profit","315463"
"2131","BAYSHORE HEALTH CARE CENTER","Monmouth","NJ","Non profit","315252"
"2132","CARE ONE AT HOLMDEL","Monmouth","NJ","For profit","315092"
"2133","CARE ONE AT WALL","Monmouth","NJ","For profit","315485"
"2134","CORAL HARBOR REHABILITATION AND HEALTHCARE CENTER","Monmouth","NJ","For profit","315105"
"2135","GATEWAY CARE CENTER","Monmouth","NJ","For profit","315177"
"2136","HACKENSACK MERIDIAN HEALTH NURSING & REHAB","Monmouth","NJ","For profit","315286"
"2137","IMPERIAL CARE CENTER","Monmouth","NJ","For profit","315199"
"2138","JERSEY SHORE CENTER","Monmouth","NJ","For profit","315364"
"2139","JEWISH HOME FOR REHABILITATION AND NURSING","Monmouth","NJ","Non profit","315528"
"2140","KING MANOR CARE AND REHABILITATION CENTER","Monmouth","NJ","For profit","315299"
"2141","LAUREL BAY HEALTH & REHABILITATION CENTER","Monmouth","NJ","For profit","315437"
"2142","MADISON CENTER","Monmouth","NJ","For profit","315015"
"2143","MANOR, THE","Monmouth","NJ","Non profit","315153"
"2144","MERIDIAN NURSING & REHAB AT SHREWSBURY","Monmouth","NJ","Non profit","315136"
"2145","MERIDIAN NURSING AND REHABILITATION AT OCEAN GROVE","Monmouth","NJ","Non profit","315365"
"2146","MERIDIAN SUBACUTE REHABILITATION","Monmouth","NJ","Non profit","315501"
"2147","MONMOUTH CARE CENTER","Monmouth","NJ","For profit","315284"
"2148","PINE BROOK CARE CENTER","Monmouth","NJ","For profit","315282"
"2149","PREFERRED CARE AT WALL","Monmouth","NJ","For profit","315397"
"2150","WARDELL GARDENS AT TINTON FALLS","Monmouth","NJ","For profit","315414"
"2151","WEDGWOOD GARDENS CARE CENTER","Monmouth","NJ","For profit","315504"
"2152","CARE ONE AT MADISON AVENUE","Morris","NJ","For profit","315488"
"2153","CARE ONE AT MORRIS","Morris","NJ","For profit","315468"
"2154","CEDAR CREST/MOUNTAINVIEW GARDENS","Morris","NJ","Non profit","315491"
"2155","CHATHAM HILLS SUBACUTE CARE CENTER","Morris","NJ","For profit","315120"
"2156","CHESHIRE HOME","Morris","NJ","Non profit","315383"
"2157","COMPLETE CARE AT MORRIS HILLS","Morris","NJ","For profit","315157"
"2158","HEATH VILLAGE","Morris","NJ","Non profit","315072"
"2159","HOLLY MANOR CENTER","Morris","NJ","For profit","315143"
"2160","LINCOLN PARK CARE CENTER","Morris","NJ","For profit","315249"
"2161","LINCOLN PARK RENAISSANCE REHAB & NURSING","Morris","NJ","For profit","315042"
"2162","MERRY HEART NURSING HOME","Morris","NJ","For profit","315057"
"2163","MORRIS VIEW HEALTHCARE CENTER","Morris","NJ","For profit","315303"
"2164","OAKS AT DENVILLE, THE","Morris","NJ","Non profit","315329"
"2165","PINE ACRES CONVALESCENT CENTER","Morris","NJ","For profit","315053"
"2166","REGENCY GRANDE NURS & REHAB CE","Morris","NJ","For profit","315355"
"2167","TROY HILLS CENTER","Morris","NJ","For profit","315138"
"2168","VILLA AT FLORHAM PARK, INC THE","Morris","NJ","Non profit","315480"
"2169","ARISTACARE AT MANCHESTER","Ocean","NJ","For profit","315196"
"2170","ARISTACARE AT WHITING","Ocean","NJ","For profit","315309"
"2171","ATLANTIC COAST REHAB & HEALTH","Ocean","NJ","For profit","315115"
"2172","BARNEGAT REHABILITATION AND NURSING CENTER","Ocean","NJ","For profit","315222"
"2173","BARTLEY HEALTHCARE NURSING & REHABILITATION","Ocean","NJ","For profit","315288"
"2174","CARE ONE AT JACKSON","Ocean","NJ","For profit","315240"
"2175","COMPLETE CARE AT ARBORS","Ocean","NJ","For profit","315333"
"2176","COMPLETE CARE AT BEY LEA, LLC","Ocean","NJ","For profit","315264"
"2177","COMPLETE CARE AT GREEN ACRES","Ocean","NJ","For profit","315265"
"2178","COMPLETE CARE AT HOLIDAY CITY","Ocean","NJ","For profit","315320"
"2179","COMPLETE CARE AT LAURELTON, LLC","Ocean","NJ","For profit","315274"
"2180","COMPLETE CARE AT SHORROCK HAVEN","Ocean","NJ","For profit","315453"
"2181","CONCORD HEALTHCARE & REHABILITATION CENTER","Ocean","NJ","For profit","315275"
"2182","CREST POINTE REHABILITATION AND HEALTHCARE CENTER","Ocean","NJ","For profit","315135"
"2183","CRYSTAL LAKE HLTHCARE & REHAB","Ocean","NJ","For profit","315125"
"2184","FOUNTAIN VIEW CARE CENTER","Ocean","NJ","For profit","315327"
"2185","HAMPTON RIDGE HEALTHCARE AND REHABILITATION","Ocean","NJ","For profit","315312"
"2186","HARROGATE","Ocean","NJ","Non profit","315262"
"2187","LEISURE CHATEAU REHABILITATION","Ocean","NJ","For profit","315190"
"2188","LEISURE PARK HEALTH CENTER","Ocean","NJ","For profit","315256"
"2189","MANAHAWKIN CONV CTR","Ocean","NJ","For profit","315206"
"2190","MERIDIAN NURSING AND REHABILITATION AT BRICK","Ocean","NJ","Non profit","315342"
"2191","ROSE GARDEN NURSING AND REHABILITATION CENTER","Ocean","NJ","For profit","315421"
"2192","SHORE MEADOWS REHAB & NURSING CENTER","Ocean","NJ","For profit","315454"
"2193","SOUTHERN OCEAN CENTER","Ocean","NJ","For profit","315332"
"2194","SPRINGPOINT AT CRESTWOOD, INC","Ocean","NJ","Non profit","315298"
"2195","TALLWOODS CARE CENTER","Ocean","NJ","For profit","315462"
"2196","WILLOW SPRINGS REHABILITATION AND HEALTHCARE CTR","Ocean","NJ","For profit","315213"
"2197","ARBOR RIDGE REHABILITATION AND HEALTHCARE CENTER","Passaic","NJ","For profit","315234"
"2198","ATRIUM POST ACUTE CARE OF WAYNE","Passaic","NJ","For profit","315335"
"2199","ATRIUM POST ACUTE CARE OF WAYNEVIEW","Passaic","NJ","For profit","315291"
"2200","CARE ONE AT WAYNE - SNF","Passaic","NJ","For profit","315477"
"2201","CHESTNUT HILL CONV CENTER","Passaic","NJ","For profit","315085"
"2202","COMPLETE CARE AT HAMILTON, LLC","Passaic","NJ","For profit","315221"
"2203","DAUGHTERS OF MIRIAM CENTER","Passaic","NJ","Non profit","315021"
"2204","HEALTH CENTER AT BLOOMINGDALE","Passaic","NJ","For profit","315348"
"2205","LAKELAND HEALTH CARE CENTER","Passaic","NJ","For profit","315261"
"2206","LAKEVIEW REHABILITATION AND CARE CENTER","Passaic","NJ","For profit","315110"
"2207","LLANFAIR HOUSE CARE & REHABILITATION CENTER","Passaic","NJ","For profit","315142"
"2208","MILFORD MANOR","Passaic","NJ","For profit","315276"
"2209","PHOENIX CENTER FOR REHABILITATION AND PEDIATRICS","Passaic","NJ","For profit","315229"
"2210","PREAKNESS HEALTHCARE CENTER","Passaic","NJ","Government","315361"
"2211","REGENCY GARDENS NURSING CENTER","Passaic","NJ","For profit","315103"
"2212","FRIENDS VILLAGE AT WOODSTOWN","Salem","NJ","Non profit","315161"
"2213","ABINGDON CARE & REHABILITATION CENTER","Somerset","NJ","For profit","315141"
"2214","ARBOR AT LAUREL CIRCLE, THE","Somerset","NJ","For profit","315445"
"2215","BRIDGEWAY CARE AND REHAB CENTER AT BRIDGEWATER","Somerset","NJ","For profit","315182"
"2216","BRIDGEWAY CARE AND REHAB CENTER AT HILLSBOROUGH","Somerset","NJ","For profit","315510"
"2217","CARE ONE AT SOMERSET VALLEY","Somerset","NJ","For profit","315002"
"2218","COMPLETE CARE AT GREEN KNOLL","Somerset","NJ","For profit","315134"
"2219","FOOTHILL ACRES REHABILITATION & NURSING CENTER","Somerset","NJ","For profit","315425"
"2220","MCAULEY HALL HEALTH CARE CENTE","Somerset","NJ","Non profit","315337"
"2221","N J EASTERN STAR HOME","Somerset","NJ","Non profit","315419"
"2222","PARKER AT SOMERSET, INC","Somerset","NJ","Non profit","315253"
"2223","REGENCY HERITAGE NURSING AND REHABILITATION CENTER","Somerset","NJ","For profit","315367"
"2224","REHAB AT RIVER'S EDGE","Somerset","NJ","For profit","315140"
"2225","SKILLED NURSING AT FELLOWSHIP VILLAGE","Somerset","NJ","Non profit","315356"
"2226","STONEBRIDGE AT MONTGOMERY HEALTH CARE CENTER","Somerset","NJ","Non profit","315486"
"2227","WILLOW CREEK REHAB AND CARE CE","Somerset","NJ","For profit","315131"
"2228","ANDOVER SUBACUTE AND REHAB I","Sussex","NJ","For profit","315044"
"2229","ANDOVER SUBACUTE AND REHAB II","Sussex","NJ","For profit","315248"
"2230","BARN HILL CARE CENTER","Sussex","NJ","For profit","315137"
"2231","HOMESTEAD REHABILITATION & HEALTH CARE CENTER","Sussex","NJ","For profit","315378"
"2232","VALLEY VIEW REHABILITATION AND HEALTHCARE CTR","Sussex","NJ","For profit","315409"
"2233","ALARIS HEALTH AT RIVERTON","Union","NJ","For profit","315198"
"2234","ARISTACARE AT DELAIRE","Union","NJ","For profit","315200"
"2235","ARISTACARE AT NORWOOD TERRACE","Union","NJ","For profit","315217"
"2236","ASHBROOK CARE & REHABILITATION CENTER","Union","NJ","For profit","315064"
"2237","AUTUMN LAKE HEALTHCARE AT BERKELEY HEIGHTS","Union","NJ","For profit","315195"
"2238","CHILDRENS SPECIALIZED HOSPITAL MOUNTAINSIDE","Union","NJ","Non profit","315239"
"2239","CLARK NURSING AND REHAB CNTR","Union","NJ","For profit","315341"
"2240","CONTINUING CARE AT LANTERN HILL","Union","NJ","Non profit","315523"
"2241","CRANFORD PARK REHABILITATION & HEALTHCARE CENTER","Union","NJ","For profit","315390"
"2242","CRANFORD REHAB & NURSING CENTER","Union","NJ","For profit","315091"
"2243","ELIZABETH NURSING AND REHAB","Union","NJ","For profit","315106"
"2244","ELMORA HILLS HEALTH & REHABILITATION CENTER","Union","NJ","For profit","315010"
"2245","JFK HARTWYCK AT CEDAR BROOK","Union","NJ","Non profit","315101"
"2246","MANOR CARE MOUNTAINSIDE","Union","NJ","Non profit","315259"
"2247","PLAZA HEALTHCARE & REHABILITATION CENTER","Union","NJ","For profit","315483"
"2248","RUNNELLS CENTER FOR REHABILITATION & HEALTHCARE","Union","NJ","For profit","315009"
"2249","SOUTH MOUNTAIN HC","Union","NJ","For profit","315283"
"2250","SPRING GROVE REHABILITATION AND HEALTHCARE CENTER","Union","NJ","For profit","315005"
"2251","TRINITAS HOSPITAL","Union","NJ","Non profit","315442"
"2252","WESTFIELD CENTER","Union","NJ","For profit","315122"
"2253","WOODLANDS, THE","Union","NJ","For profit","315273"
"2254","BRAKELEY PARK CENTER","Warren","NJ","For profit","315316"
"2255","FOREST MANOR HCC","Warren","NJ","For profit","315224"
"2256","HOUSE OF THE GOOD SHEPHERD","Warren","NJ","Non profit","315422"
"2257","LOPATCONG CENTER","Warren","NJ","For profit","315202"
"2258","WARREN HAVEN REHAB AND NURSING CENTER","Warren","NJ","For profit","315304"
"2259","ADVANCED HEALTH CARE OF ALBUQUERQUE","Bernalillo","NM","For profit","325119"
"2260","LA VIDA LLENA","Bernalillo","NM","For profit","325035"
"2261","UPTOWN REHABILITATION CENTER","Bernalillo","NM","For profit","325042"
"2262","RED ROCKS CARE CENTER","Mckinley","NM","For profit","325070"
"2263","AZTEC HEALTHCARE","San Juan","NM","For profit","325071"
"2264","CEDAR RIDGE INN","San Juan","NM","For profit","325113"
"2265","LIFE CARE CENTER OF FARMINGTON","San Juan","NM","For profit","325103"
"2266","WELBROOK SENIOR LIVING, LLC","San Juan","NM","For profit","325133"
"2267","NEIGHBORHOOD IN RIO RANCHO (THE)","Sandoval","NM","For profit","325130"
"2268","ADVANCED HEALTH CARE OF SUMMERLIN","Clark","NV","For profit","295092"
"2269","CAREMERIDIAN-BUFFALO","Clark","NV","For profit","295091"
"2270","COLLEGE PARK REHABILITATION CENTER","Clark","NV","For profit","295055"
"2271","DELMAR GARDENS OF GREEN VALLEY","Clark","NV","For profit","295041"
"2272","EL JEN CONVALESCENT HOSPITAL AND RETIREMENT CENTER","Clark","NV","For profit","295008"
"2273","GAYE HAVEN INTERMEDIATE CARE FACILITY","Clark","NV","For profit","29E021"
"2274","HARMON HOSPITAL - SNF","Clark","NV","For profit","295048"
"2275","HORIZON HEALTH AND REHABILITATION CENTER","Clark","NV","For profit","295017"
"2276","LAS VEGAS POST ACUTE & REHABILITATION","Clark","NV","For profit","295006"
"2277","LIFE CARE CENTER OF LAS VEGAS","Clark","NV","For profit","295052"
"2278","LIFE CARE CENTER OF SOUTH LAS VEGAS","Clark","NV","For profit","295076"
"2279","MISSION PINES NURSING & REHABILITATION CENTER","Clark","NV","For profit","29E037"
"2280","NEURORESTORATIVE 4 KIDS","Clark","NV","For profit","295084"
"2281","NEVADA STATE VETERANS HOME - BOULDER CITY","Clark","NV","Government","295081"
"2282","NORTH LAS VEGAS CARE CENTER","Clark","NV","For profit","295036"
"2283","PREMIER HEALTH & REHABILITATION CENTER OF LV, LP","Clark","NV","For profit","295021"
"2284","ROYAL SPRINGS HEALTHCARE AND REHAB","Clark","NV","For profit","295073"
"2285","SILVER HILLS HEALTH CARE CENTER","Clark","NV","For profit","295066"
"2286","SILVER RIDGE HEALTHCARE CENTER","Clark","NV","For profit","295072"
"2287","THE HEIGHTS OF SUMMERLIN, LLC","Clark","NV","For profit","295083"
"2288","TLC CARE CENTER","Clark","NV","For profit","295071"
"2289","TRANSITIONAL CARE OF LAS VEGAS, LLC","Clark","NV","For profit","295095"
"2290","ALTA SKILLED NURSING AND REHABILITATION CENTER","Washoe","NV","For profit","295077"
"2291","HEARTHSTONE OF NORTHERN NEVADA","Washoe","NV","For profit","295044"
"2292","LAKESIDE HEALTH & WELLNESS SUITES","Washoe","NV","For profit","295043"
"2293","BRONX CENTER FOR REHABILITATION & HEALTH CARE","Bronx","NY","For profit","335506"
"2294","BRONX GARDENS REHABILITATION AND NURSING CENTER","Bronx","NY","For profit","335775"
"2295","BRONXCARE SPECIAL CARE CENTER","Bronx","NY","Non profit","335753"
"2296","EAST HAVEN NURSING & REHABILITATION CENTER","Bronx","NY","For profit","335723"
"2297","KINGS HARBOR MULTICARE CENTER","Bronx","NY","For profit","335644"
"2298","SPLIT ROCK REHABILITION AND HEALTH CARE CENTER","Bronx","NY","For profit","335321"
"2299","ST PATRICKS HOME","Bronx","NY","Non profit","335011"
"2300","ST VINCENT DEPAUL RESIDENCE","Bronx","NY","Non profit","335763"
"2301","THE PLAZA REHAB AND NURSING CENTER","Bronx","NY","For profit","335462"
"2302","PINE HAVEN HOME","Columbia","NY","For profit","335632"
"2303","FERNCLIFF NURSING HOME CO INC","Dutchess","NY","For profit","335405"
"2304","BUFFALO CENTER FOR REHABILITATION AND NURSING","Erie","NY","For profit","335638"
"2305","FATHER BAKER MANOR","Erie","NY","Non profit","335777"
"2306","GARDEN GATE HEALTH CARE FACILITY","Erie","NY","For profit","335634"
"2307","HARRIS HILL NURSING FACILITY, L L C","Erie","NY","For profit","335757"
"2308","BENSONHURST CENTER FOR REHAB AND HEALTHCARE","Kings","NY","For profit","335558"
"2309","COBBLE HILL HEALTH CENTER INC","Kings","NY","Non profit","335174"
"2310","CROWN HEIGHTS CENTER FOR NURSING AND REHAB","Kings","NY","For profit","335609"
"2311","DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER","Kings","NY","For profit","335625"
"2312","DR SUSAN SMITH MCKINNEY NURSING AND REHAB CENTER","Kings","NY","Government","335805"
"2313","HAYM SOLOMON HOME FOR THE AGED","Kings","NY","For profit","335656"
"2314","KING DAVID CENTER FOR NURSING AND REHABILITATION","Kings","NY","For profit","335545"
"2315","OXFORD NURSING HOME","Kings","NY","For profit","335163"
"2316","SEA CREST NURSING AND REHABILITATION CENTER","Kings","NY","For profit","335411"
"2317","SEAGATE REHABILITATION AND NURSING CENTER","Kings","NY","For profit","335513"
"2318","SHORE VIEW NURSING  & REHABILITATION CENTER","Kings","NY","For profit","335288"
"2319","THE CHATEAU AT BROOKLYN REHAB AND NURSING CENTER","Kings","NY","For profit","335290"
"2320","JEWISH HOME OF ROCHESTER","Monroe","NY","Non profit","335105"
"2321","ST ANNS COMMUNITY","Monroe","NY","Non profit","335081"
"2322","ST JOHNS HEALTH CARE CORPORATION","Monroe","NY","Non profit","335008"
"2323","A HOLLY PATTERSON EXTENDED CARE FACILITY","Nassau","NY","Government","335023"
"2324","CENTRAL ISLAND HEALTHCARE","Nassau","NY","For profit","335284"
"2325","EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C","Nassau","NY","For profit","335231"
"2326","GLEN COVE CENTER FOR NURSING AND REHABILITATION","Nassau","NY","For profit","335716"
"2327","HEMPSTEAD PARK NURSING HOME","Nassau","NY","For profit","335808"
"2328","HIGHFIELD GARDENS CARE CENTER OF GREAT NECK","Nassau","NY","For profit","335250"
"2329","LONG BEACH NURSING AND REHABILITATION CENTER","Nassau","NY","For profit","335432"
"2330","LYNBROOK RESTORATIVE THERAPY AND NURSING","Nassau","NY","For profit","335160"
"2331","SUNHARBOR MANOR","Nassau","NY","For profit","335559"
"2332","THE GRAND REHABILITATION AND NURSING AT GREAT NECK","Nassau","NY","For profit","335483"
"2333","TOWNHOUSE CENTER FOR REHABILITATION & NURSING","Nassau","NY","For profit","335798"
"2334","WHITE OAKS REHABILITATION AND NURSING CENTER","Nassau","NY","For profit","335690"
"2335","ISABELLA GERIATRIC CENTER INC","New York","NY","Non profit","335100"
"2336","MARY MANNING WALSH NURSING HOME CO INC","New York","NY","Non profit","335050"
"2337","NEW GOUVERNEUR HOSPITAL S N F","New York","NY","Government","335461"
"2338","NORTHERN MANHATTAN REHABILITATION AND NURSING CTR","New York","NY","For profit","335792"
"2339","TERENCE CARDINAL COOKE HEALTH CARE CENTER","New York","NY","Non profit","335665"
"2340","THE NEW JEWISH HOME, MANHATTAN","New York","NY","Non profit","335491"
"2341","THE RIVERSIDE","New York","NY","For profit","335334"
"2342","UPPER EAST SIDE REHABILITATION AND NURSING CENTER","New York","NY","For profit","335232"
"2343","MONTGOMERY NURSING AND REHABILITATION CENTER","Orange","NY","For profit","335396"
"2344","THE VALLEY VIEW CENTER FOR NURSING CARE AND REHAB","Orange","NY","Government","335238"
"2345","PUTNAM NURSING & REHABILITATION CENTER","Putnam","NY","For profit","335229"
"2346","CARING FAMILY NURSING AND REHABILITATION CENTER","Queens","NY","For profit","335165"
"2347","CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER","Queens","NY","For profit","335349"
"2348","DRY HARBOR NURSING HOME","Queens","NY","For profit","335416"
"2349","ELMHURST CARE CENTER INC","Queens","NY","For profit","335814"
"2350","FRANKLIN CENTER FOR REHABILITATION AND NURSING","Queens","NY","For profit","335426"
"2351","HOLLISWOOD CTR FOR REHABILITATION AND HEALTHCARE","Queens","NY","For profit","335503"
"2352","OZANAM HALL OF QUEENS NURSING HOME INC","Queens","NY","Non profit","335363"
"2353","PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB","Queens","NY","Non profit","335132"
"2354","REGO PARK NURSING HOME","Queens","NY","For profit","335379"
"2355","SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS","Queens","NY","For profit","335133"
"2356","THE GRAND REHABILITATION AND NURSING AT QUEENS","Queens","NY","For profit","335130"
"2357","CARMEL RICHMOND HEALTHCARE AND REHAB CENTER","Richmond","NY","Non profit","335455"
"2358","APEX REHABILITATION & CARE CENTER","Suffolk","NY","For profit","335067"
"2359","CARILLON NURSING AND REHABILITATION CENTER","Suffolk","NY","For profit","335286"
"2360","GOOD SAMARITAN NURSING HOME","Suffolk","NY","Non profit","335636"
"2361","GURWIN JEWISH NURSING AND REHABILITATION CENTER","Suffolk","NY","For profit","335696"
"2362","ISLAND NURSING AND REHAB CENTER","Suffolk","NY","Non profit","335835"
"2363","LUXOR NURSING AND REHABILITATION AT MILLS POND","Suffolk","NY","For profit","335739"
"2364","LUXOR NURSING AND REHABILITATION AT SAYVILLE","Suffolk","NY","For profit","335761"
"2365","OUR LADY OF CONSOLATION NURSING AND REHAB CARE CTR","Suffolk","NY","Non profit","335539"
"2366","PECONIC LANDING AT SOUTHOLD","Suffolk","NY","Non profit","335842"
"2367","SULLIVAN COUNTY ADULT CARE CENTER","Sullivan","NY","Government","335628"
"2368","MARTINE CENTER FOR REHABILITATION AND NURSING","Westchester","NY","For profit","335424"
"2369","NORTH WESTCHESTER RESTORATIVE THERAPY & NRSG CRT","Westchester","NY","For profit","335342"
"2370","REGENCY EXTENDED CARE CENTER","Westchester","NY","For profit","335080"
"2371","ST CABRINI NURSING HOME","Westchester","NY","Non profit","335383"
"2372","THE NEW JEWISH HOME, SARAH NEUMAN","Westchester","NY","Non profit","335296"
"2373","THE WARTBURG HOME","Westchester","NY","Non profit","335269"
"2374","WESTCHESTER CENTER FOR REHABILITATION & NURSING","Westchester","NY","For profit","335459"
"2375","CARECORE AT LIMA LLC","Allen","OH","For profit","365202"
"2376","LIBERTY RETIREMENT COMMUNITY OF LIMA INC","Allen","OH","For profit","365936"
"2377","LIMA CONVALESCENT HOME","Allen","OH","Non profit","366297"
"2378","MENNONITE MEMORIAL HOME","Allen","OH","Non profit","366144"
"2379","SAYBROOK LANDING","Ashtabula","OH","For profit","366382"
"2380","OTTERBEIN ST MARYS RETIREMENT COMMUNITY","Auglaize","OH","Non profit","365953"
"2381","OTTERBEIN-CRIDERSVILLE","Auglaize","OH","Non profit","366050"
"2382","SIENNA HILLS NURSING & REHABILITATION","Belmont","OH","For profit","365922"
"2383","ARBORS AT MINERVA","Carroll","OH","For profit","365674"
"2384","SOUTHBROOK CARE CENTER","Clark","OH","For profit","365424"
"2385","EASTGATE HEALTH CARE CENTER","Clermont","OH","For profit","365772"
"2386","SALEM WEST HEALTHCARE CENTER","Columbiana","OH","For profit","366096"
"2387","ACCORD CARE COMMUNITY MIDDLEBURG HEIGHTS","Cuyahoga","OH","For profit","365702"
"2388","ARISTOCRAT BEREA HEALTHCARE AND REHABILITATION","Cuyahoga","OH","For profit","365608"
"2389","ELISABETH SEV PRENTISS CTR FOR","Cuyahoga","OH","Government","365787"
"2390","ELIZA BRYANT CENTER","Cuyahoga","OH","Non profit","366101"
"2391","FRANKLIN PLAZA EXTENDED CARE","Cuyahoga","OH","For profit","365388"
"2392","HIGHLAND POINTE HEALTH & REHAB CENTER","Cuyahoga","OH","For profit","366440"
"2393","JUDSON PARK","Cuyahoga","OH","Non profit","365870"
"2394","MANORCARE HEALTH SERVICES -  PARMA","Cuyahoga","OH","Non profit","366343"
"2395","MCGREGOR AT OVERLOOK","Cuyahoga","OH","Non profit","366383"
"2396","MENORAH PARK CENTER FOR SENIOR","Cuyahoga","OH","Non profit","365094"
"2397","NORMANDY MANOR OF ROCKY RIVER","Cuyahoga","OH","For profit","365926"
"2398","PARMA CARE CENTER","Cuyahoga","OH","For profit","365758"
"2399","SEVEN HILLS HEALTH & REHAB CENTER","Cuyahoga","OH","For profit","366441"
