agency_name,sub_agency,recipient,assist_type,biz_code,n_row,n_award,sum_row
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MING'S MEDICAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MINNESOTA VALLEY PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MIRACLE ORCHIDS MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MIRIAM HOSPITAL WOMEN'S ASSN,GUARANTEED/INSURED LOAN (F),M,1,1,42998
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"MIRSHED MEDICAL CENTER, SC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MISO MEDICAL CENTER,DIRECT LOAN (E),R,1,1,30000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MISSION EQUINE HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,9000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MISSION PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MISSION TRAIL BAPTIST HOSPITAL,DIRECT LOAN (E),PR,1,1,100900
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MITCHELL HAMMOCK PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"MITCHELL HAMMOCK PET HOSPITAL, INC",DIRECT LOAN (E),R,1,1,25000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MLO RENAISSANCE MEDICAL CENTER CORP.,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOHAMMAD RIAZ MD INC DBA MERCY MEDICAL CENTER,GUARANTEED/INSURED LOAN (F),R,1,1,74032
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONADNOCK COMMUNITY HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONROE FAMILY PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONROE FAMILY PET HOSPITAL INC.,DIRECT LOAN (E),R,1,1,500000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONROE REGIONAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONTCLAIR FAMILY MEDICAL CENTER,DIRECT LOAN (E),R,1,1,88200
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONTCLAIR FAMILY MEDICAL CENTER INC,GUARANTEED/INSURED LOAN (F),R,1,1,27995
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"MONTECITO PET HOSPITAL, INC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONTEREY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONTEREY PARK MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONTES DE OCA MEDICAL CENTER INC.,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONTGOMERY WOMEN'S MEDICAL CENTER P.C.,DIRECT LOAN (E),R,1,1,45100
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONTGOMERY WOMENS MEDICAL CENTER P.C.,GUARANTEED/INSURED LOAN (F),R,1,1,108500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MONTROSE PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MORENA PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOROSO MEDICAL CENTER,DIRECT LOAN (E),R,1,1,131000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOROSO MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,3000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MORRIS AVENUE MEDICAL CENTER INC.,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MORRIS AVENUE MEDICAL CENTER INC.,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MORRIS MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,7000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MORRIS SALES HOSPITAL SHOPPE INC,GUARANTEED/INSURED LOAN (F),R,1,1,89207.75
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOSQUEDA OPTOMETRISTS MEDICAL CENTER,DIRECT LOAN (E),PR,1,1,7500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOSTELLAR MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOTEL 6 MEDICAL CENTER BIRMINGHAM,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOTION MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,39000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOTION MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,3000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOUNT CARMEL MEDICAL CENTER LTD,DIRECT LOAN (E),R,1,1,145700
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOUNT CARMEL PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOUNTAIN LAKES MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOUNTAIN VALLEY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MOUNTIANVIEW MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"MRS MEDICAL CENTER, LLC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,3000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MURPHY'S DELI MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MURRIETA FAMILY PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,9000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MUSIC VALLEY MEDICAL CENTER,DIRECT LOAN (E),R,1,1,47000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MY CHOICE MEDICAL CENTER AP.C.,DIRECT LOAN (E),R,1,1,130300
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MYRTLE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,MYRTLE MEDICAL CENTER INC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NAMASTE MEDICAL CENTER CORP,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NAMASTE MEDICAL CENTER CORP,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NAMASTE MEDICAL CENTER CORP,GUARANTEED/INSURED LOAN (F),R,1,1,8340
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NANTICOKE HOSPITAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NANTICOKE MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,57000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NANTICOKE MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NAPOLI MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NATIONAL HOSPITAL SERVICES,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NATIONAL MEDICAL CENTER OF HOPE INC,DIRECT LOAN (E),R,1,1,76500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NATIONAL MEDICAL CENTER OF HOPE INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NATURAHEALTH INTEGRATIVE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NATURAL HAIR TRANSPLANT MEDICAL CENTER INC.,DIRECT LOAN (E),R,1,1,25000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NATURAL HEALING MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NECK & BACK MEDICAL CENTER INC,GUARANTEED/INSURED LOAN (F),R,1,1,128717
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEIGHBORHOOD PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NEIGHBORHOOD PET HOSPITAL, PC",DIRECT LOAN (E),R,1,1,33500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEM MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,9000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEUR0-PAIN MEDICAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEURO-PAIN MEDICAL CENTER INC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NEW  CREATION THERAPEUTIC MEDICAL CENTER,  LLC",DIRECT LOAN (E),R,1,1,27500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW AGE MEDICAL CENTER PA,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW CREATION THERAPEUTIC MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW ENGLAND COMMUNITY MEDICAL MEDICAL CENTER,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW GENERATION MEDICAL CENTER INC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW GENERATION MEDICAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW HAVEN WALKIN MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,3000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW HEALTH MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,3000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW HOPE MEDICAL CENTER,DIRECT LOAN (E),R,1,1,52400
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW HOPE MEDICAL CENTER,GUARANTEED/INSURED LOAN (F),R,1,1,6875
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW HORIZON HOSPITAL LLC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW HORIZON HOSPITAL LLC,GUARANTEED/INSURED LOAN (F),R,1,1,395932
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NEW HORIZON MEDICAL CENTER, LLC",DIRECT LOAN (E),R,1,1,10500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NEW HORIZON MEDICAL CENTER, LLC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW LIFE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW LIFE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW LIFE MEDICAL CENTER CORP,DIRECT LOAN (E),R,1,1,58300
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW LIFE MEDICAL CENTERS,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,7000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW LIFE REHAB MEDICAL CENTER,DIRECT LOAN (E),R,1,1,98000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NEW ORLEANS EAST REHABILITATION HOSPITAL, INC",DIRECT LOAN (E),R,1,1,74000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NEW ORLEANS EAST REHABILITATION HOSPITAL, INC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW SUNSHINE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEW TAMPA MEDICAL CENTER PA,GUARANTEED/INSURED LOAN (F),R,1,1,112730
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEWBERG URGENT CARE & MEDICAL CENTER LLC,GUARANTEED/INSURED LOAN (F),R,1,1,78122.5
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEWHOPE JOINT & SPINE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NEWPORT MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NIEVES MEDICAL CENTER,GUARANTEED/INSURED LOAN (F),R,1,1,97870
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NIEVES MEDICAL CENTER, LLC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NIKOU EYE SURGICAL AND MEDICAL CENTER INC.,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NIMEL MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,19700
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NIMEL MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NINE LIVES CAT HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NIRVANA ACUPUNCTURE & MEDICAL CENTER,DIRECT LOAN (E),R,1,1,66000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NIRVANA ACUPUNCTURE & MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NOAHS ARK PET HOSPITAL,DIRECT LOAN (E),R,1,1,107200
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NOB HILL CAT CLINIC AND HOSPITAL,DIRECT LOAN (E),PR,1,1,59300
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NODAL MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,101700
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NODAL MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NORTH AMERICAN SPECIALTY HOSPITAL (NASH),"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NORTH BRISTOL INJURY AND FAMILY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,7000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NORTH COAST MEDICAL CENTER, INC.",DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"NORTH COAST MEDICAL CENTER, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NORTH HOSPITAL PHYSICIANS SERVICES,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NORTH LAKE REHAB AND MEDICAL CENTER INC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NORTH MEDICAL CENTER DRIVE LLC,DIRECT LOAN (E),R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,NORTH MEDICAL CENTER DRIVE LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
